,lat,lon,pressure,ASL_Sector_Pres,time
208,-72.0,240.0,977.19775390625,985.6035766601562,1996-07-01
209,-67.5,265.5,982.667236328125,987.4771728515625,1996-08-01
210,-63.75,246.0,976.107177734375,985.7608642578125,1996-09-01
211,-72.75,254.25,967.7050170898438,976.7445678710938,1996-10-01
212,-66.75,278.25,969.5315551757812,985.5784301757812,1996-11-01
213,-66.75,236.25,977.1468505859375,983.476806640625,1996-12-01
214,-66.0,274.5,977.8602294921875,988.2384033203125,1997-01-01
215,-66.75,275.25,988.3671264648438,990.6661987304688,1997-02-01
216,-74.25,207.0,976.7174072265625,985.2782592773438,1997-03-01
217,-68.25,274.5,979.446533203125,988.8055419921875,1997-04-01
218,-76.5,200.25,972.1773681640625,984.2832641601562,1997-05-01
219,-66.75,197.25,980.24609375,990.46044921875,1997-06-01
220,-76.5,199.5,977.8206176757812,989.6617431640625,1997-07-01
221,-73.5,209.25,972.90625,983.1033325195312,1997-08-01
222,-70.5,210.0,969.056884765625,983.1918334960938,1997-09-01
223,-70.5,200.25,969.994873046875,982.3602294921875,1997-10-01
224,-68.25,201.75,976.0365600585938,983.921875,1997-11-01
225,-66.0,234.75,988.8968505859375,992.8653564453125,1997-12-01
226,-66.75,274.5,979.8618774414062,987.20263671875,1998-01-01
227,-71.25,229.5,980.3859252929688,987.3637084960938,1998-02-01
228,-75.0,201.75,977.9732055664062,982.71923828125,1998-03-01
229,-71.25,225.75,970.800048828125,980.5399780273438,1998-04-01
230,-73.5,193.5,979.7700805664062,991.5675659179688,1998-05-01
231,-69.0,207.0,968.2418212890625,977.3189086914062,1998-06-01
232,-63.75,279.0,966.7190551757812,975.6206665039062,1998-07-01
233,-69.75,215.25,960.0770263671875,971.1299438476562,1998-08-01
234,-69.0,216.0,975.7625122070312,982.4141235351562,1998-09-01
235,-66.0,253.5,967.2515869140625,977.0091552734375,1998-10-01
236,-72.0,224.25,969.4566650390625,977.01953125,1998-11-01
237,-68.25,261.75,975.433349609375,982.2862548828125,1998-12-01
238,-66.75,263.25,978.6173706054688,983.6631469726562,1999-01-01
239,-68.25,273.0,972.4075927734375,984.1713256835938,1999-02-01
240,-69.75,237.75,975.4912719726562,984.3963012695312,1999-03-01
241,-71.25,282.0,973.97412109375,982.4432373046875,1999-04-01
242,-71.25,238.5,968.3251342773438,978.068115234375,1999-05-01
243,-63.0,238.5,985.1690063476562,991.0201416015625,1999-06-01
244,-74.25,192.0,976.1113891601562,983.9541015625,1999-07-01
245,-72.0,211.5,974.919189453125,985.802978515625,1999-08-01
246,-71.25,204.0,976.5337524414062,984.699951171875,1999-09-01
247,-74.25,220.5,961.9783325195312,972.9647827148438,1999-10-01
248,-69.0,261.0,965.6482543945312,974.6190185546875,1999-11-01
249,-70.5,271.5,972.45703125,980.9879150390625,1999-12-01
250,-68.25,278.25,973.887939453125,983.4367065429688,2000-01-01
251,-68.25,196.5,978.9352416992188,985.1289672851562,2000-02-01
252,-67.5,207.0,979.5567016601562,986.7199096679688,2000-03-01
253,-71.25,198.0,974.8584594726562,981.8877563476562,2000-04-01
254,-66.0,238.5,978.905517578125,984.6716918945312,2000-05-01
255,-70.5,242.25,982.4356079101562,988.6939697265625,2000-06-01
256,-75.0,206.25,975.9757690429688,985.9625244140625,2000-07-01
257,-72.0,206.25,974.3950805664062,984.7492065429688,2000-08-01
258,-72.75,210.0,982.733642578125,994.576171875,2000-09-01
259,-73.5,209.25,973.1492309570312,981.4363403320312,2000-10-01
260,-71.25,192.0,974.4120483398438,984.8878173828125,2000-11-01
261,-60.75,283.5,987.1480712890625,993.3193359375,2000-12-01
262,-61.5,279.0,985.8851318359375,991.16943359375,2001-01-01
263,-63.75,263.25,983.4117431640625,987.6586303710938,2001-02-01
264,-66.0,282.0,981.572509765625,987.3659057617188,2001-03-01
265,-72.75,209.25,976.3473510742188,983.3958740234375,2001-04-01
